ax,ay,az,gx,gy,gz,label
0.0793457,0.02319336,0.9641113,-2.938931,-1.496183,-0.4122138,0
0.08081055,0.02050781,0.9562988,-2.824427,-1.580153,-0.2061069,0
0.07592773,0.01904297,0.9631348,-2.839695,-1.526718,-0.2824428,0
0.099674,-0.109373,-0.697169,-0.02119832,-0.4445259,-0.11353576,1
-0.019886,0.13194,0.06649,0.01292434,-0.072,-0.01716884,1
0.08276367,0.01464844,0.9597168,-2.832061,-1.503817,-0.1221374,0
0.109373,0.028121,-0.351909,-0.4384913,-0.3045099,0.46128238,1
0.07666016,0.01586914,0.9597168,-2.725191,-1.587786,-0.4427481,0
0.1813965,0.5529785,1.819336,-67.87786,82.73283,78.13741,10
0.07446289,0.02172852,0.9655762,-2.89313,-1.549618,-0.351145,0
-0.026047,-0.0378,-0.346236,-0.00018304,-0.0028,9.048e-05,1
0.7397461,0.4626465,1.161621,-172.1221,-75.29008,-4.267176,10
-0.5351563,0.6464844,1.195313,250.1298,-31.96947,-80.0229,10
0.08422852,-0.05883789,0.1132813,58.22901,250.1298,-45.53435,10
-0.017324,-0.0072,-0.777872,0.27964066,-0.0137,-0.0004927,1
-0.044713,0.0912,-0.026047,-0.05757492,-0.0125,0.31604534,1
0.028304,0.38759,0.001586,0.00050882,-0.0071,-0.00030628,1
0.08276367,0.01977539,0.9560547,-2.923664,-1.664122,-0.4580153,0
0.08618164,0.01806641,0.9609375,-2.778626,-1.625954,-0.2519084,0
-0.06771,0.00537,0.217221,0.1603901,-0.0146,-0.15519686,1
0.0793457,0.01757813,0.9616699,-2.931298,-1.625954,-0.259542,0
0.06738281,0.01489258,0.9755859,-2.854962,-1.603053,-0.1984733,10
0.08081055,0.01977539,0.9592285,-2.969466,-1.473282,-0.2748091,0
0.114253,0.03392,0.436699,0.00053196,0.01364,-0.00028964,1
0.08764648,0.01220703,0.9638672,-2.78626,-1.587786,-0.2900764,0
-0.034526,-0.007686,0.05551,-3.796e-05,-0.0098038,-8.97e-05,1
-0.329827,-0.331779,0.790194,0.0445757,0.01820702,-0.85735572,1
0.1264648,0.4616699,1.680908,68.61832,25.48092,-220.771,10
-0.621582,-0.02832031,0.4155273,-173.2061,116.3359,-144.8855,10
-0.1955566,0.425293,0.7407227,8.244275,44.70229,-248.1832,10
0.07397461,0.02172852,0.9611816,-2.877863,-1.671756,-0.3435115,0
0.09082031,0.02416992,0.9611816,-2.89313,-1.526718,-0.5038168,0
-0.2890625,0.1564941,0.3210449,164.1221,-118.1756,250.1298,10
0.057584,-0.047336,0.25986,0.16878238,0.10455302,0.53843556,1
0.08520508,0.01782227,0.9650879,-2.938931,-1.664122,-0.4580153,0
0.2629395,0.2075195,0.1098633,133.5573,31.86259,250.1298,10
-0.077226,-0.086071,0.153537,0.0438243,1.12452054,-0.16196258,1
0.03881836,0.5522461,1.063721,123.626,55.45038,-248.1832,10
0.07763672,0.01831055,0.9543457,-2.778626,-1.374046,-0.3969466,0
-0.003782,0.020191,-0.030012,0.03598608,-0.0794456,0.23881624,1
-0.2790527,0.5292969,1.034424,103.8168,11.44275,-230.9695,10
0.17263,0.074847,0.319701,0.00011882,0.02289248,-0.00012532,1
0.003172,-0.0417,0.032208,0.01416896,-0.0747,-0.00455728,1
0.08227539,0.02001953,0.9592285,-2.748092,-1.534351,-0.5648855,0
0.09033203,0.0144043,0.9602051,-3.244275,-1.671756,-0.2977099,0
-0.769043,0.673584,0.7124023,-202.6718,-66.45802,250.1298,10
-0.006039,-0.013725,0.195505,-0.15763566,1.03246572,0.77928734,1
0.07861328,0.4311523,0.7822266,250.1298,-137.9313,106.8244,10
0.1323242,0.06884766,0.9731445,-5.076336,39.00763,-0.2748091,10
-0.079117,-0.0045,0.309819,-0.0488852,0.05332,-0.21622406,1
0.08276367,0.02563477,0.9643555,-2.839695,-1.648855,-0.1603053,0
0.0793457,0.02319336,0.9641113,-2.938931,-1.496183,-0.4122138,0
-0.3491211,-0.0004882813,0.3129883,-248.1832,-77.29008,-0.05343511,10
0.08789063,0.01171875,0.9587402,-2.793893,-1.396947,-0.2977099,0
0.4196777,0.4624023,1.335205,-212.5954,85.87786,176.2061,10
0.583252,-0.05419922,-0.4343262,154.687,15.98473,-88.84733,10
0.018117,-0.0703,0.393145,0.00079508,0.0166,-0.00045682,1
0.049959,0.013481,0.307806,-0.04003636,-0.0681928,0.13136604,1
0.0793457,0.02294922,0.9594727,-2.900763,-1.580153,-0.3587786,0
0.021045,0.111264,-0.482632,-0.00010218,-0.0146877,0.00020046,1
0.08349609,0.01953125,0.9680176,-2.923664,-1.503817,-0.4427481,0
-0.091439,-0.326167,-0.854366,0.00048958,0.02433236,-0.00024544,1
-0.2058105,0.1169434,0.02416992,-220.7176,29.99237,54.8168,10
-0.006039,-0.013725,0.195505,-0.15763566,1.03246572,0.77928734,1
0.08398438,0.02075195,0.9570313,-2.923664,-1.717557,-0.3358779,0
-0.047092,-0.174704,0.119499,0.05200754,0.12143742,-0.14774578,1
0.08764648,0.01220703,0.9638672,-2.78626,-1.587786,-0.2900764,0
-0.6662598,0.5908203,1.377197,-63.24427,109.7634,-94.48855,10
0.119873,-0.3623047,0.1982422,45.29008,-12.34351,-136.0534,10
0.025193,-0.0009,-0.011163,-0.00028002,0.03108,0.00017498,1
0.07861328,0.01489258,0.9660645,-2.717557,-1.618321,-0.3282443,0
0.08642578,0.01660156,0.9616699,-2.946565,-1.59542,-0.1068702,0
0.075518,0.04953,0.048617,0.00049556,0.0174,-0.00029016,1
-0.068747,0.1676,-0.408883,-0.00086034,-0.0037,0.0005941,1
0.08154297,0.01928711,0.9575195,-2.748092,-1.519084,-0.4045802,0
1.510254,0.2832031,1.118164,-56.92366,-33.68702,73.32825,10
0.08276367,0.01757813,0.9631348,-2.679389,-1.503817,-0.3435115,0
-0.027755,0.00531,-0.12078,-0.00020488,0.01184,0.00013806,1
-0.9707031,0.291748,1.182129,250.1298,87.40458,-204.2137,10
-0.017507,-0.059,0.290604,-0.22392838,0.19037,0.98925398,1
0.0793457,0.02319336,0.9641113,-2.938931,-1.496183,-0.4122138,0
0.07104492,0.02368164,0.958252,-2.832061,-1.381679,-0.1832061,0
-0.560791,0.1796875,1.148438,33.33588,32.16031,-10.29008,10
0.0847168,0.01757813,0.9597168,-2.885496,-1.664122,-0.3206107,0
0.08398438,0.01928711,0.9699707,-2.969466,-1.740458,-0.2824428,0
0.05551,-0.0657,0.005124,-0.0447395,-0.1442,-0.10194184,1
0.07617188,0.02099609,0.9580078,-2.885496,-1.534351,-0.2824428,0
0.07739258,0.02246094,0.9614258,-2.763359,-1.564886,-0.3206107,0
0.08105469,0.0222168,0.9550781,-2.862595,-1.458015,-0.3740458,0
0.0793457,0.02319336,0.9641113,-2.938931,-1.496183,-0.4122138,0
0.0793457,0.02294922,0.9685059,-2.862595,-1.679389,-0.4656488,0
-0.052338,-0.1672,-0.687653,0.00053456,-0.003,-0.00035282,1
0.314209,0.2373047,1.48584,-189.8473,39.74809,-167.2595,10
-1.431792,-1.1397,0.729133,-0.2222623,0.01217,0.15113904,1
0.08886719,0.02197266,0.9655762,-2.984733,-1.610687,-0.2137404,0
0.1650391,0.5534668,0.8120117,116.8321,190.9084,250.1298,10
0.09033203,0.01708984,0.953125,-2.717557,-1.572519,-0.2977099,0
0.08251953,0.01977539,0.9658203,-2.847328,-1.480916,-0.2213741,0
0.08154297,0.01928711,0.967041,-2.839695,-1.51145,-0.4351145,0
-0.108946,0.03989,0.087169,0.05571696,0.05427,-0.0401726,1
-0.016409,0.11065,-0.630008,-0.1550289,0.00406,-0.00094952,1
0.07788086,0.02368164,0.9567871,-3.068702,-1.59542,-0.3053435,0
0.1816406,0.40625,0.4555664,62.9084,22.08397,-146.7634,10
-0.3603516,-0.2121582,1.825684,226.8168,-87.74046,18.48092,10
0.07983398,0.01513672,0.9667969,-2.862595,-1.51145,-0.2290076,0
0.08544922,0.0168457,0.9562988,-3.038168,-1.59542,-0.4732824,0
0.08032227,0.01367188,0.9658203,-2.89313,-1.748092,-0.3206107,0
0.03491211,-0.3969727,0.3347168,75.77863,33.0458,-19.76336,10
-0.061793,-0.063623,0.220271,-0.03606876,-0.1683776,-0.15927652,1
0.07788086,0.02368164,0.9567871,-3.068702,-1.59542,-0.3053435,0
0.006893,0.005246,0.134688,-0.00072176,0.01316302,-1.43625768,1
0.08105469,0.0222168,0.9550781,-2.862595,-1.458015,-0.3740458,0
1.079346,-0.2590332,-0.3112793,182.4275,-10.35114,-143.8397,10
0.074725,0.02001,-0.177449,-0.00100906,-0.081,0.13692198,1
-0.4438477,0.3728027,0.1540527,163.2366,-75.25954,118.8092,10
0.7971191,0.1203613,0.6708984,-240.6031,7.160306,-23.0458,10
0.3444824,0.5244141,1.328369,-144.1832,-59.68702,250.1298,10
0.056425,-0.0134,0.063501,-0.16679468,-0.0375,-0.15875496,1
-0.3996582,0.06689453,0.6159668,-248.1832,-248.1832,81.771,10
-0.329827,-0.331779,0.790194,0.0445757,0.01820702,-0.85735572,1
0.08374023,0.01513672,0.9599609,-2.80916,-1.648855,-0.2061069,0
-0.7321777,-0.5354004,1.999939,250.1298,-27.42748,21.70992,10
0.015311,-0.0033,0.004636,0.00037076,0.05324,-0.00020072,1
-0.027084,-0.0458,-0.684664,0.1572805,0.06455,0.01089062,1
0.07910156,0.01513672,0.9597168,-2.80916,-1.519084,-0.4198473,0
-1.431792,-1.1397,0.729133,-0.2222623,0.01217,0.15113904,1
0.566934,0.02654,0.372405,0.00027092,0.01518,-0.0001261,1
0.119873,-0.3623047,0.1982422,45.29008,-12.34351,-136.0534,10
0.263916,-0.2077637,0.3879395,42.82443,250.1298,22.54962,10
0.08007813,0.015625,0.9555664,-2.839695,-1.625954,-0.1908397,0
0.003111,0.01409,-0.719068,0.02492854,-0.0187,-0.68220958,1
