ax,ay,az,gx,gy,gz,label
0.099674,-0.109373,-0.697169,-0.02119832,-0.4445259,-0.11353576,1
-0.019886,0.13194,0.06649,0.01292434,-0.072,-0.01716884,1
0.109373,0.028121,-0.351909,-0.4384913,-0.3045099,0.46128238,1
-0.026047,-0.0378,-0.346236,-0.00018304,-0.0028,9.048e-05,1
-0.017324,-0.0072,-0.777872,0.27964066,-0.0137,-0.0004927,1
-0.044713,0.0912,-0.026047,-0.05757492,-0.0125,0.31604534,1
0.028304,0.38759,0.001586,0.00050882,-0.0071,-0.00030628,1
-0.06771,0.00537,0.217221,0.1603901,-0.0146,-0.15519686,1
0.114253,0.03392,0.436699,0.00053196,0.01364,-0.00028964,1
-0.034526,-0.007686,0.05551,-3.796e-05,-0.0098038,-8.97e-05,1
-0.329827,-0.331779,0.790194,0.0445757,0.01820702,-0.85735572,1
0.057584,-0.047336,0.25986,0.16878238,0.10455302,0.53843556,1
-0.077226,-0.086071,0.153537,0.0438243,1.12452054,-0.16196258,1
-0.003782,0.020191,-0.030012,0.03598608,-0.0794456,0.23881624,1
0.17263,0.074847,0.319701,0.00011882,0.02289248,-0.00012532,1
0.003172,-0.0417,0.032208,0.01416896,-0.0747,-0.00455728,1
-0.006039,-0.013725,0.195505,-0.15763566,1.03246572,0.77928734,1
-0.079117,-0.0045,0.309819,-0.0488852,0.05332,-0.21622406,1
0.018117,-0.0703,0.393145,0.00079508,0.0166,-0.00045682,1
0.049959,0.013481,0.307806,-0.04003636,-0.0681928,0.13136604,1
0.021045,0.111264,-0.482632,-0.00010218,-0.0146877,0.00020046,1
-0.091439,-0.326167,-0.854366,0.00048958,0.02433236,-0.00024544,1
-0.006039,-0.013725,0.195505,-0.15763566,1.03246572,0.77928734,1
-0.047092,-0.174704,0.119499,0.05200754,0.12143742,-0.14774578,1
0.025193,-0.0009,-0.011163,-0.00028002,0.03108,0.00017498,1
0.075518,0.04953,0.048617,0.00049556,0.0174,-0.00029016,1
-0.068747,0.1676,-0.408883,-0.00086034,-0.0037,0.0005941,1
-0.027755,0.00531,-0.12078,-0.00020488,0.01184,0.00013806,1
-0.017507,-0.059,0.290604,-0.22392838,0.19037,0.98925398,1
0.05551,-0.0657,0.005124,-0.0447395,-0.1442,-0.10194184,1
-0.052338,-0.1672,-0.687653,0.00053456,-0.003,-0.00035282,1
-1.431792,-1.1397,0.729133,-0.2222623,0.01217,0.15113904,1
-0.108946,0.03989,0.087169,0.05571696,0.05427,-0.0401726,1
-0.016409,0.11065,-0.630008,-0.1550289,0.00406,-0.00094952,1
-0.061793,-0.063623,0.220271,-0.03606876,-0.1683776,-0.15927652,1
0.006893,0.005246,0.134688,-0.00072176,0.01316302,-1.43625768,1
0.074725,0.02001,-0.177449,-0.00100906,-0.081,0.13692198,1
0.056425,-0.0134,0.063501,-0.16679468,-0.0375,-0.15875496,1
-0.329827,-0.331779,0.790194,0.0445757,0.01820702,-0.85735572,1
0.015311,-0.0033,0.004636,0.00037076,0.05324,-0.00020072,1
-0.027084,-0.0458,-0.684664,0.1572805,0.06455,0.01089062,1
-1.431792,-1.1397,0.729133,-0.2222623,0.01217,0.15113904,1
0.566934,0.02654,0.372405,0.00027092,0.01518,-0.0001261,1
0.003111,0.01409,-0.719068,0.02492854,-0.0187,-0.68220958,1
0.001342,-0.0204,-0.195566,-0.07209644,0.07398,-0.22388574,1
0.11956,0.07631,0.478728,-0.00429494,0.01029,0.13313898,1
0.17019,-0.157014,-0.549976,-0.00867542,-0.0706846,-0.03333382,1
-0.013176,-0.113399,-0.05063,0.0588588,-0.0315461,0.36212566,1
0.016836,0.112179,-0.055205,0.18983978,0.0638443,-1.60039048,1
0.005124,0.068381,-0.67039,0.0394199,-0.0878623,-0.02576392,1
0.02867,-0.003233,0.099308,0.02255604,-0.1845493,-0.05810766,1
-0.044713,-0.0463,0.069235,0.00057226,0.01914,-0.00034268,1
-0.039467,-0.0874,-0.287371,-0.03597516,-0.0294,-0.36534056,1
0.115168,0.002257,-0.737063,-0.08608262,0.2023918,0.11714976,1
0.021045,0.111264,-0.482632,-0.00010218,-0.0146877,0.00020046,1
-0.02562,0.0229,-0.107177,0.00056368,-0.0025,-0.00017108,1
0.012749,0.06314,0.344955,-0.0173914,-0.0314,0.1650155,1
-0.016775,0.03392,0.056791,0.00036166,0.03402,-0.00019214,1
0.101992,0.060024,-0.434381,0.14085864,0.10675808,0.35544704,1
0.066429,0.073627,-0.320372,-0.05568784,0.0491478,0.00515736,1
-0.013176,-0.113399,-0.05063,0.0588588,-0.0315461,0.36212566,1
0.034709,0.1077,0.805627,0.00012948,-0.0029,-0.00011336,1
0.030561,-0.034038,-0.02318,0.00015054,-0.0054577,-0.00021476,1
0.006039,-0.013115,-0.246013,5.85e-05,-0.0023759,-0.00021528,1
-0.008601,0.02373,0.17568,-0.05077878,0.00351,-0.3773393,1
0.120414,-0.072651,-0.774822,-0.02165696,0.01073306,0.08026408,1
-0.041419,0.035929,-0.165676,0.00044148,4.42e-05,-0.00020722,1
0.012993,0.10724,0.208498,0.12144548,0.24917,0.38344774,1
-0.526552,0.82716,-0.732,-0.02081118,-0.1863334,0.15623998,1
-0.023912,-0.183366,0.05795,0.01178034,0.00619138,-1.01702406,1
0.101992,0.060024,-0.434381,0.14085864,0.10675808,0.35544704,1
-0.036478,0.03739,-0.554795,0.1336478,0.10248,-0.1134796,1
0.120414,-0.072651,-0.774822,-0.02165696,0.01073306,0.08026408,1
0.016775,0.014213,0.037637,-0.02406378,0.11563526,-1.13992658,1
0.062403,0.02934,-0.024766,-0.00067418,-0.013,0.00044122,1
-0.023119,0.0586,0.018056,-0.00010166,-0.0035,0.00020644,1
-0.022021,0.0363,-0.099369,-0.00025298,0.02215,0.00015912,1
0.101992,0.060024,-0.434381,0.14085864,0.10675808,0.35544704,1
-0.015494,0.028609,0.015494,2.028e-05,-0.006031,0.00014196,1
-0.048922,0.063745,-0.629337,0.04199624,0.08587696,0.07166328,1
0.079849,-0.0271,0.089792,0.01456052,0.02215,-0.0701948,1
0.564189,0.474153,0.876936,0.02665962,0.08352838,-0.09489376,1
0.027023,0.135176,0.212524,-0.08271276,0.0107523,0.04062968,1
0.355569,-0.0409,-0.129808,0.01633632,0.33604,0.15122978,1
-0.465613,-0.118523,-0.222772,-0.00949884,-0.0032305,-0.0614276,1
-0.464332,-0.510936,0.415837,-0.04232722,-0.0479424,-0.09477572,1
-0.06344,-0.005063,-0.181353,0.07299942,0.2916966,-0.01855568,1
0.10187,-0.0262,-0.7381,0.1220505,0.05007,-0.16672084,1
0.012993,-0.174,-0.23363,-0.03070392,-0.2705,-0.44137262,1
-0.147559,-0.094062,-0.177205,0.18941286,0.09683726,1.18872442,1
-0.026291,0.037454,0.014579,0.0002171,0.00353626,-0.00013858,1
0.04636,-0.090402,-0.05612,-0.00036062,0.01363622,0.0002613,1
-0.037332,0.04929,-0.089914,-0.00057616,-0.0117,0.00035516,1
0.188429,0.179828,0.085461,-7.514e-05,-0.0087805,2.86e-05,1
-0.024827,-0.0351,-0.737795,0.03509974,0.05017,-0.36352212,1
0.08784,0.157014,-0.14823,-0.00488644,0.03320382,0.13658996,1
0.088084,0.409249,0.853329,-0.0003926,-0.0010535,0.00018122,1
0.17019,-0.157014,-0.549976,-0.00867542,-0.0706846,-0.03333382,1
-0.024827,-0.0351,-0.737795,0.03509974,0.05017,-0.36352212,1
0.101992,0.060024,-0.434381,0.14085864,0.10675808,0.35544704,1
-0.009272,-0.0821,-0.481595,-0.00070148,0.03066,0.00040326,1
0.210389,0.07216,-0.204777,0.0215748,-0.0162,0.22266868,1
-0.036478,0.03739,-0.554795,0.1336478,0.10248,-0.1134796,1
-0.232959,-0.0245,-0.299693,-0.04406922,-0.1772,-0.24380304,1
0.132675,-0.116,-0.952942,-0.00734916,0.02236,-0.34398364,1
0.026718,-0.0056,0.119804,-0.0240838,-0.076,-0.18974384,1
0.003111,0.01409,-0.719068,0.02492854,-0.0187,-0.68220958,1
-0.037271,0.036234,-0.101565,0.18235724,0.09664512,0.48004892,1
-0.23363,-0.6934,-0.925126,-0.03461718,-0.0616,-0.09743006,1
0.034465,-0.0006,-0.111325,0.01944202,-0.035,0.13966264,1
-0.015494,0.028609,0.015494,2.028e-05,-0.006031,0.00014196,1
-0.057279,-0.1602,-0.041175,0.00058578,-0.0096,-0.00033592,1
-0.078507,0.067405,0.443287,-0.00020072,-0.0056404,0.00016406,1
-0.671427,0.8274,0.688141,-0.11209276,0.07252,0.13324896,1
0.099796,-0.027389,-0.236741,0.0249639,-0.1139154,-0.0077441,1
0.020557,-0.099491,-0.326716,-0.0002873,0.00169312,0.00028314,1
-0.038918,0.0327,-0.693631,-0.16175302,0.05634,-0.00725582,1
0.042822,-0.039101,-0.59902,-0.06660264,0.00282386,-0.9812426,1
0.290421,0.25266,0.066917,0.13775424,0.03695,-0.03025542,1
-0.048922,0.063745,-0.629337,0.04199624,0.08587696,0.07166328,1
0.016226,0.02568,-0.187026,-7.41e-05,0.02241,9.62e-06,1
-0.671427,0.8274,0.688141,-0.11209276,0.07252,0.13324896,1
-0.025132,0.0224,-0.035868,-0.0006123,-0.0031,0.00041028,1
-0.061793,-0.063623,0.220271,-0.03606876,-0.1683776,-0.15927652,1
-0.041419,0.035929,-0.165676,0.00044148,4.42e-05,-0.00020722,1
-1.431792,-1.1397,0.729133,-0.2222623,0.01217,0.15113904,1
0.028304,0.38759,0.001586,0.00050882,-0.0071,-0.00030628,1
0.1098,0.017141,0.155245,0.2707419,-0.0875241,0.02170818,1
-0.735599,-0.319274,1.040111,-0.04041674,-0.0595798,-0.59865234,1
-0.026413,-0.0577,-0.400038,0.170053,-0.0329,0.49680332,1
0.021045,0.080093,-0.53314,0.0600093,-0.0131677,-0.03889522,1
0.395463,-0.0348,0.970571,0.00052988,-0.0041,-0.00025324,1
-0.290787,0.00397,0.868823,-0.02798926,0.09011,0.22516572,1
0.12017,0.078385,0.1464,-0.00050726,0.00228566,0.00037804,1
-0.136091,0.34526,-0.179401,-0.04667286,0.00165438,0.05566808,1
0.050081,-0.0454,-0.02867,0.00765258,0.00057,-0.4709406,1
-0.047092,-0.174704,0.119499,0.05200754,0.12143742,-0.14774578,1
-0.022509,-0.057,-0.188856,0.03679858,-0.1806,0.0632736,1
0.167323,0.217282,-0.040565,0.05011916,0.04470128,-0.88556806,1
0.100467,0.038064,0.29951,-0.052494,-0.1850129,-0.07948226,1
0.114253,0.03392,0.436699,0.00053196,0.01364,-0.00028964,1
-0.036356,0.021777,-0.660447,0.07402408,-0.133041,0.74945728,1
0.019276,0.11791,-0.042456,-0.00084474,0.01819,0.00052598,1
0.001647,0.02019,-0.82594,0.07387146,0.01369,-0.10764208,1
0.02867,-0.003233,0.099308,0.02255604,-0.1845493,-0.05810766,1
0.212158,0.39382,0.180804,0.00061178,0.04499,-1.05163786,1
0.042212,0.044286,0.059902,-0.02410564,0.0549328,0.12310428,1
0.020557,-0.099491,-0.326716,-0.0002873,0.00169312,0.00028314,1
0.077531,-0.047153,-0.75091,0.04921176,-0.1469278,0.0480194,1
0.395463,-0.0348,0.970571,0.00052988,-0.0041,-0.00025324,1
0.050081,-0.0454,-0.02867,0.00765258,0.00057,-0.4709406,1
0.047702,0.10651,0.199714,0.000221,0.02265,-9.776e-05,1
-0.142679,0.07229,0.350384,0.00026572,-0.0094,-0.0001677,1
0.100467,0.038064,0.29951,-0.052494,-0.1850129,-0.07948226,1
1.279719,1.344745,1.212497,-0.04066296,-0.2871879,-0.00062452,1
0.034465,-0.0006,-0.111325,0.01944202,-0.035,0.13966264,1
-6.1e-05,-0.1914,-0.02257,-0.0238927,-0.6833,-0.9459866,1
0.02074,-0.057889,0.170983,-0.0783913,-0.0414768,-0.15606682,1
-0.025437,-0.160247,0.38186,0.02511808,0.00747682,-1.04727324,1
-0.039467,-0.0874,-0.287371,-0.03597516,-0.0294,-0.36534056,1
-0.068747,0.1676,-0.408883,-0.00086034,-0.0037,0.0005941,1
-0.04514,0.02647,0.013847,-0.09866194,-0.1876,-0.07731542,1
0.033367,-0.0359,-0.394548,8.684e-05,-0.0098,-4.914e-05,1
-0.057279,-0.1602,-0.041175,0.00058578,-0.0096,-0.00033592,1
-0.032147,0.05582,-0.128405,0.00124852,-0.0876,-1.18800032,1
0.02867,-0.003233,0.099308,0.02255604,-0.1845493,-0.05810766,1
0.032208,0.003538,-0.188063,0.06988618,-0.2120175,0.1466361,1
0.368623,0.820023,0.982039,0.01543516,-0.009132,0.4739605,1
-0.017324,-0.0072,-0.777872,0.27964066,-0.0137,-0.0004927,1
-0.017019,0.048861,-0.709613,-0.03727958,-0.0855101,-0.0143845,1
0.377651,-0.012932,0.023363,-0.0160771,0.00984724,0.11397646,1
-0.046421,-0.029524,-0.088389,0.00038298,0.00294944,-0.0001664,1
0.002196,0.007625,0.182024,-0.00059514,0.00327496,0.00030992,1
-0.258457,-0.160613,0.155245,0.04474626,-0.0777551,-0.04665856,1
0.02867,-0.003233,0.099308,0.02255604,-0.1845493,-0.05810766,1
-0.04575,0.1255,0.426939,0.00014846,-0.0037,-0.00020592,1
0.027023,0.135176,0.212524,-0.08271276,0.0107523,0.04062968,1
0.006039,-0.013115,-0.246013,5.85e-05,-0.0023759,-0.00021528,1
-0.671427,0.8274,0.688141,-0.11209276,0.07252,0.13324896,1
-0.02562,0.0229,-0.107177,0.00056368,-0.0025,-0.00017108,1
0.106628,0.02257,-0.174033,0.12892464,0.00026078,-1.09097508,1
-0.027755,0.00531,-0.12078,-0.00020488,0.01184,0.00013806,1
-0.309392,0.38046,1.19804,-0.15691208,-0.0352,0.0882401,1
-0.014335,0.03215,0.006588,-0.00017446,0.01841,9.23e-05,1
0.075518,0.04953,0.048617,0.00049556,0.0174,-0.00029016,1
0.034648,0.027816,-0.207827,0.03264482,0.17243512,-0.09488388,1
0.034648,0.027816,-0.207827,0.03264482,0.17243512,-0.09488388,1
0.023912,0.077653,0.43676,0.00060866,0.02649192,-0.00033722,1
0.105652,-0.06527,-0.236741,-0.01366456,0.06194916,-0.68244072,1
-0.057279,-0.1602,-0.041175,0.00058578,-0.0096,-0.00033592,1
0.020984,0.012505,0.126087,0.01684436,0.05750628,0.07449468,1
0.056547,0.03361,0.18788,0.14338584,-0.0631,-0.16829488,1
0.088084,0.409249,0.853329,-0.0003926,-0.0010535,0.00018122,1
-0.007442,-0.0671,-0.111691,-0.05174936,-0.1631,-0.1930929,1
0.018788,0.026962,0.119621,0.03233308,0.03151122,0.0958269,1
0.081801,0.061366,0.11102,-0.01428856,0.09783176,0.41475824,1
-0.105164,-0.133041,0.117364,0.04072458,0.10822786,-138228714.0,1
-0.027755,0.00531,-0.12078,-0.00020488,0.01184,0.00013806,1
-0.184159,-0.0375,0.257115,0.07384806,0.0803,-0.25837032,1
-0.021106,-0.0179,-0.764391,0.16346746,-0.0637,-0.19607796,1
0.103395,0.070638,-0.056059,0.06709482,0.10946468,0.19897956,1
-0.085827,0.05612,0.008662,0.12876864,-0.0156,0.45279598,1
-0.015494,0.028609,0.015494,2.028e-05,-0.006031,0.00014196,1
-0.017324,-0.0072,-0.777872,0.27964066,-0.0137,-0.0004927,1
0.115168,0.002257,-0.737063,-0.08608262,0.2023918,0.11714976,1
0.009516,0.053802,-0.926224,-0.05749952,0.10546172,-0.43877574,1
-0.117364,0.03599,-0.087535,-0.00054626,0.01251,0.00036426,1
-0.290787,0.00397,0.868823,-0.02798926,0.09011,0.22516572,1
-0.091439,-0.326167,-0.854366,0.00048958,0.02433236,-0.00024544,1
-0.070699,-0.0417,-0.395219,-0.00055588,0.01491,0.00035074,1
0.003172,-0.0417,0.032208,0.01416896,-0.0747,-0.00455728,1
0.034465,-0.0006,-0.111325,0.01944202,-0.035,0.13966264,1
-0.046665,0.07662,0.048861,-0.06951542,-0.0864,-0.45023576,1
0.028487,-0.0597,0.081313,-8.97e-05,0.02086,6.006e-05,1
-0.038918,0.0327,-0.693631,-0.16175302,0.05634,-0.00725582,1
-0.04514,0.02647,0.013847,-0.09866194,-0.1876,-0.07731542,1
-0.051606,0.01068,-0.716384,-0.05113368,-0.2874,0.46322172,1
-0.026047,-0.0378,-0.346236,-0.00018304,-0.0028,9.048e-05,1
-0.271511,-0.38491,0.413031,0.01388816,0.14653366,0.18623202,1
-0.325923,-0.337025,0.572363,0.01826526,0.0063245,0.15277886,1
0.104432,0.005002,0.059414,-0.03055702,-0.1724975,0.10731006,1
-0.290787,0.00397,0.868823,-0.02798926,0.09011,0.22516572,1
0.013115,0.0313,-0.025254,0.00014742,-0.0027,-4.108e-05,1
-0.164822,-0.0563,0.055388,-0.188838,-0.0075,0.01750632,1
-0.258457,-0.160613,0.155245,0.04474626,-0.0777551,-0.04665856,1
0.028487,-0.0597,0.081313,-8.97e-05,0.02086,6.006e-05,1
0.02074,-0.057889,0.170983,-0.0783913,-0.0414768,-0.15606682,1
-0.007442,-0.0671,-0.111691,-0.05174936,-0.1631,-0.1930929,1
-0.049227,-0.0044,-0.323422,-0.00015132,-0.0025,0.00024648,1
0.028487,-0.0597,0.081313,-8.97e-05,0.02086,6.006e-05,1
0.199592,0.24961,0.132187,-0.10638134,-0.003,0.15384824,1
0.127856,-0.190747,-0.551562,-0.01152918,0.00476996,0.02559076,1
-0.079788,-0.139141,-0.228506,-0.02912442,-0.0413028,0.49937316,1
